publication	study	subject	item	voicing	usable	vowel_dur	comment
Roettger_etal_2014	1	16	nauk	voiceless	usable	163.1093	
Roettger_etal_2014	1	16	blod	voiced	usable	135.363049	
Roettger_etal_2014	1	16	gop	voiceless	usable	133.891183	
Roettger_etal_2014	1	16	klab	voiced	usable	141.956993	NO RELEASE
Roettger_etal_2014	1	5	pruk	voiceless	usable	133.23925	
Roettger_etal_2014	1	5	jiet	voiceless	usable	152.410529	POPPING SHORTLY AFTER RELEASE
Roettger_etal_2014	1	5	flap	voiceless	usable	163.40138	
Roettger_etal_2014	1	5	staug	voiced	usable	169.811892	
Roettger_etal_2014	1	5	frub	voiced	not_usable	126.58493	VQ o
Roettger_etal_2014	1	5	quop	voiceless	usable	153.851274	
Roettger_etal_2014	1	5	gaud	voiced	usable	197.496132	
Roettger_etal_2014	1	5	mub	voiced	not_usable	123.464286	mbub?
Roettger_etal_2014	1	5	schuk	voiceless	usable	131.629617	
Roettger_etal_2014	1	5	rok	voiceless	usable	155.789436	
Roettger_etal_2014	1	5	quad	voiced	usable	217.967186	
Roettger_etal_2014	1	5	prieg	voiced	usable	142.649968	
Roettger_etal_2014	1	5	gop	voiceless	usable	155.306236	Rauschen
Roettger_etal_2014	1	5	griet	voiceless	usable	162.566749	Rauschen
Roettger_etal_2014	1	5	nauk	voiceless	usable	167.888535	Rauschen
Roettger_etal_2014	1	5	blod	voiced	usable	161.981901	
Roettger_etal_2014	1	5	frat	voiceless	usable	169.174351	
Roettger_etal_2014	1	5	wiep	voiceless	usable	140.138034	
Roettger_etal_2014	1	5	schmaub	voiced	usable	170.388129	
Roettger_etal_2014	1	5	schrieg	voiced	usable	144.518755	
Roettger_etal_2014	1	5	klab	voiced	not_usable	189.454977	no stop 
Roettger_etal_2014	1	5	frog	voiced	usable	171.069289	
Roettger_etal_2014	1	5	drud	voiced	usable	161.622183	
Roettger_etal_2014	1	5	gak	voiceless	usable	197.290145	
Roettger_etal_2014	1	5	priek	voiceless	usable	88.662389	
Roettger_etal_2014	1	5	flab	voiced	usable	187.343036	
Roettger_etal_2014	1	5	prug	voiced	not_usable	170.744262	hesitation onset
Roettger_etal_2014	1	5	frup	voiceless	usable	142.894963	
Roettger_etal_2014	1	5	mup	voiceless	not_usable	111.096907	wup ?
Roettger_etal_2014	1	5	stauk	voiceless	usable	159.386338	
Roettger_etal_2014	1	5	rog	voiced	usable	192.67421	
Roettger_etal_2014	1	5	jied	voiced	usable	131.018858	
Roettger_etal_2014	1	5	quob	voiced	usable	143.695975	
Roettger_etal_2014	1	5	schug	voiced	usable	152.583703	
Roettger_etal_2014	1	5	quat	voiceless	usable	172.93788	
Roettger_etal_2014	1	5	gaut	voiceless	usable	198.654251	
Roettger_etal_2014	1	5	naug	voiced	usable	214.720881	
Roettger_etal_2014	1	5	blot	voiceless	usable	150.811735	
Roettger_etal_2014	1	5	gob	voiced	usable	202.975057	
Roettger_etal_2014	1	5	schmaup	voiceless	usable	138.576568	
Roettger_etal_2014	1	5	frad	voiced	usable	211.318516	
Roettger_etal_2014	1	5	gried	voiced	usable	166.318041	
Roettger_etal_2014	1	5	frok	voiceless	usable	137.51392	
Roettger_etal_2014	1	5	wieb	voiced	usable	144.377254	
Roettger_etal_2014	1	5	klap	voiceless	usable	170.046721	
Roettger_etal_2014	1	5	gag	voiced	usable	257.583253	
Roettger_etal_2014	1	5	schriek	voiceless	usable	148.944548	
Roettger_etal_2014	1	14	flab	voiced	usable	264.27027	lengthened?
Roettger_etal_2014	1	14	rog	voiced	usable	204.170843	
Roettger_etal_2014	1	14	priek	voiceless	not_usable	184.888352	VQ e
